Word,Definition
Matoe,"v.i. Split, crack, open in fissures. Papa i matoe (M. 380). mātoetoe1.a. Cracked, split, fissured.2.Rough. Matoetoe ana te arero i te mitikanga.3.n. A plant. see toe'"
Matoha,"a. 1.Untied, undone.2.Lost. mātohatohaa. Separated into parts, divided out.'"
Matohi,"n. A kind of haka, performed by men only . see tumatohi'"
Matohu,n. Mark see tohu'
Matoi,"Kei kawea ko te parekareka ki te kaikai a to matoi (S.). (Another version of the song has matou.)Tohia Puanga ki tana wai matoi kura, i (T. 53). '"
Mātoke,a. Cold see hotoke'
Matoko,"v.i. Spring up, grow see toko'"
Matora,"a. Untied, loosened. Kua matora te tau o te kakahu see matara whakamatorav.t. Loosen, untie.'"
Matore,"n. Crack, small fissure. mātoretorea. Rough. see titore, matoe'"
Mātoro,"v.t. Woo, pay addresses to. Ki te mea ranei ka haere atu au ki te matoro i a Hine-moa, e kore pea ia e pai mai ki ahau (T. 131).   Whare matoro, the house for general social intercourse in a village. Kia taia ou ngutu, tou kauae… kia pai ai koe mo to haerenga ki nga whare matoro (M. 58) see toro (ii), mōtoro'"
Mātoro,"n. A variety of eel. Mātorun. Crowd. Tohungia tou kakahu kia tangatanga ai tou noho i te wahi matoru (P.). Ko tetahi, hopu noa ai i waenga parae; ko tetahi, tiki tonu ai i roto i te matoru tangata. mātotorua. 1.Thick. Kia matotoru nga toetoe mo te whare.2.Dull of hearing, heedless. Rahirahi tonu, kaua e matotoru (T. 191).'"
Matoru,mātorutorua. Benumbed.'
Mātou,"pron. 1st pers. pl., excluding the person or persons addressed.  We, us. Ki te mea ka tae mai ia ki konei, ka patua ia e matou (T. 200).'"
Matou,n. Fruit of horopito (Pseudowintera axillaris).'
Matou,"E Puhia ana raro o maua ko aku rau mahara, tikina mai e te tangata i matoua iho (S.). Kei kawea koe e te pare-kareka ki te kaikai a to matou (S.). (Another version of this song has matoi.) '"
Mātou,ma atu see ma (iii)'
Matū,"n. 1.Fat. Kaore he matu, ko te iwi kau (W.M. xii, 190). = motu2.Richness of food; sometimes almost = kinaki, relish.3.fig. Gist, kernel, of a matter.'"
Matu,"v.t. Cut, cut in pieces see motu'"
Mātua,"1.ad. First. I matua whakawawa ano nga uri o Tangaroa (T. 5).   Matua ano tenei e hanga.2.Almost, on the point of. Matua te wairua ki te po, e koroingo ana ano (P.). (Another version has matuatia.)3.a. Important, large, abundant. He matua te ika o tera kainga.4.n. Main body of an army. Katahi ano te matua ka pakaru, ka patua (J. xx, 23). mātuatua1.a. Important, large, abundant.2.n. A variety of eel.'"
Matua, see matua 1'
Matua,"1.n. Parent, and more especially father. Plural, mātua. Ko te matua o Tawhaki i mauria matetia atu, ko te wahine anake i haere ora (T. 46).2.Division of an army, company, Plural, matua. Ko nga matua a nga tuakana, he maha ano nga tangata (T. 101).3.Placenta. Matua kihikihi, larva of cicada.  4.Hull or body of a canoe, to which the haumi, rauawa, etc., were fitted. Ka whakaekea nga rauawa ki runga ki te matua.5.Body of a calabash, to which the paewai was fixed.6.As an element in the names of several plants,.  Matua-aruhe, matua-kaponga, ferns;    matua-kore, a tree;    matua-kūmara. Geranium dissectum;    matua-mauku. Hymenophyllum dilatatum;    matua-tikumu, Celmisia specta-bilis and C. coriacea.  7.a. Adult, grown up. Tena kia matua ia, he tangata matau rawa ia (W.M. vii, 7). = kaumatua8.Main, chief, important. Kei hopu tou ringa ki te aka taepa, engari kia mau ki te aka matua (T. 48). Ka mahue te wahine matua (T. 185). whakamatua1.v.i. Rest, pause, after an effort. (So explained by Grey.) He pureirei whakamatuatanga (P. 25).2.v. Keep steady, control. Ka houhia nga rakau ki waenganui tonu o te waka ki runga i nga taumanu… hei whakamatua i te waka.'"
Matuaiwi,n. 1.Main range of hills.2.A term applied to the second ingress of inanga into the rivers. (Tahu.)'
Matuarua,"1.a. Not firmly attached to anyone, loving many alike. E hoki mai ranei Te Rangitahi ka matuaruatia ki te tangata ? (M. 194).2.n. A sea monster. Na matuarua i tiko te moana i kai tahi te ika. Te tutae a matuarua, an expression for a discoloured sea.'"
Mātuatua, see mātua (i)'
Matuawhapuku,"n. Scorpaena cruenta, red rock cod. = rarai'"
Mātuhi,"n. 1. Bowdleria punctata, fern-bird. = mātatā2.Small bone needle with eye. mātuhituhin. Xenicus longipes, bush wren.'"
Matuku,"n. 1. Botaurus poiciloptilus, brown bittern. = matuku-hurepo, matuku-kāka, hurepo, kautuku. Te matuku e hu ana i te repo (S.).2.Demigretta matook, blue heron; a shore bird. = matuku-moana, matuku-nuia, matuku-tai, matuku-waitai, matukutuku,3.Notophoyx novaehollandiae, white-faced heron. Called also matuku-moana. mātukutukun. 1.Reef heron (blue heron). matuku, 22.Club moss, Lycopodium sp.'"
Matukuroimata,n. Alseuosmia linariifolia and other species; shrubs.'
Mātukutuku, see matuku'
Matunu,n. A skin disease.'
Māturu,"māturuturuv.i. Trickle in drops, distil. whakamāturu, whakamāturuturuv.t. Pour out drop by drop. see turu (vi)'"
Mātūtū,"1.a. Convalescent.2.Not quite healed or cured. Ka matutu te mate o te turoro.3.v.t. Attend to, consider. Kia matutu tonu te whakaaro ki nga mahi a Ngati Ruanui. see tūtū, tū (v)'"
Matutu,"n. Part of the tauihu of a canoe. Ko te ihu o te waka, e rua, e toru nga ingoa otauawahi; ko aupounamu tona wahi whakamutunga, ko matutu te tuarua. Ko te wahi tenei e whakanohoia ai te tauihu o te waka, ko tona mutunga mai ko te toitoi.'"
Māu,"pron, 2nd pers. sing. ū, with prep, ma.For thee, for you. Maku e kawe atu he wai mau (T. 169).'"
Mau,"n. Food products. He mau pai nga mau o tenei kainga. — Kia kore ai taua taniwha e mea tonu, nana etehi o nga mau o taua roto.'"
Mau,"v.t. 1.Carry, bring. Ka whakaritea nga tangata mau kaheru, me nga tangata mau patu (T. 151). Ka mauria mai (ngaipu) ki te aroaro o Rupe (T. 33).2.Take up, lay hold of, followed by ki. Ka mau a Tutanekai ki ona kahu me tana patu (T. 133). Te maunga atu ki te toki, ka tarai ano i te waka ta (T. 51). mamauv.t. 1.Grasp, grab.2.Wrestle with.'"
Mau,"Pt. 1.Fixed. Ka toia a Tainui, kaore i paneke; te maunga iho ano, mau tonu (T. 75).2.Continuing, lasting, established. Ka riro i nga tama a Rangitihi a Rotorua; mau nei, mau nei, a whakatupuria noatia nga mano tangata nei i reira (T. 103).   Kia mau! Stay! Maunga rongo, or rongo mau, peace. Ka mau te rongo (Peace was made) (T. 67). Ka whakawhiwhia mai ki a ia te patu pounamu … hei maunga mo ta raua nei rongo (T. 170).3.Caught, seized, captured. I mau iho ano a Whakaturia ki te take o te poporo, na, ka whaia ko Tama-te-kapua, mau rawa atu i te akau o te moana (T. 64).4.Taken, caught, of fish, birds, etc. Ki te hamama popoia te tangata, e kore e mau te ika (Ika, 132). E kore e mau he kiore ka umangatia, ka pa i te whana o te tawhiti (P.).5.Entangled. E Hotu, kua mau taku aho, tikina (T. 109).6.Overtaken. Ka oma taua tangata, ka mau i te wahine ra (T. 95).7.Retained, remaining in position. Ka pakaru ko te tahā, mau mai i a ia ko te ngutu anake o te tahā ra (T. 91). Ka kati tonu te matau mau ai (T. 118).8.Confined, constrained.9.Comprehended, understood. Ae, kua mau atu ano i a au (T. 199).10.Expressing prevalence of a feeling. Ka mau te wehi! (How dreadful!)11.With passive termination, fixed. I whakaita, i maua e koe i te whakau whare (M. 42).12. Mau taringa, ear pendant.   Mau kaki, neck pendant.  Note: These are generic terms.  whakamau1.v.t. Fix, fasten, of objects, looks, attention, etc. Whakamau te titiro ki te kapua rere mai (M. 189). Whakamau mahara, preserve recollection, serve as a memorial. He mea tika tenei ma tatou, kia whai whakamau-maharatanga mona.  2.Fix the attention on, be intent on. He whakamaunga atu naku i te ao ka takawe na runga mai o te motu (M. 17). Ka whakamau ake ki te ao uru (M. 226). Whakamau noa atu ki nga kanohi o ia wahine (T. 167).   He wahine e whakamaua ana (A woman who is run after).3.v.i. Remain, be established. Hei konei au whakamau atu ai (M. 19). E ka ko te ahi whakamau tonu ake (M. 31).'"
Mau,maumau1.v.t. Waste. Ka raruraru nga rangatira o runga i a Te Arawa mo te maumaunga i a ratou kura (T. 79).2.ad. To no purpose. Maumau kake noa ahau ki runga ki te maunga. = moumou'
Mau,"v.t. Perceive. Mau koe, kahore he kai o tenei kainga (You may perceive, etc).'"
Māua,"pron. 1st per. dual, excluding the person or persons addressed. We two, us two. Ka karanga atu nga wahine ra, “He koroheke ta maua” (T. 51).   The following uses should be noted: (a) In soliloquy, where the use of taua might be expected. Ka mahara ano te ngakau o te hoa o Haka-wau, ka mea, “Kei konei pea maua mate ai” (T. 176).   (b) By a speaker to include himself and other persons regarded as a company. Ka mate katoa nga tamariki a Uenuku, ka rere kotahi … ka ki atu ia, “Na hoki maua, pau katoa” (W. iii, 19).   In this connection ngatimaua is used indicating the speaker and his party. (c) Poetically and in animated address bringing parts of the person, or other inanimate objects, within the scope of the pronoun. Kia whakarongo atu maua nei ko aku taringa (M. cxi). E tae ki nga po Rakaunui o te marama, tena au, maua ko to hakari pakuha (W. iv, 156).'"
Mauāhara,"1.v.t. Cherish ill feeling towards, hate. E mauahara tonu ana taua tangata ki a au. Ka mauāharatia taua tamaiti nei e Rata (W. v, 8).2.n. Ill will, hatred. Kihai ano hoki tana mauahara mo Uenuku i puakina e ia (W. v, 36).'"
Mauātara,a. Caught by the point or end.'
Māue,"māueuev.i. Shake, tremble, quiver see ngaueue'"
Māui,"1.a. Left, on the left hand. Atawhaia ki tona peke maui (T. 16). Katahi ka whaka-tika, ka mau ki te pakihiwi maui, ka numia ki te pakitara maui o waho o te whare (J. xx, 19).2.n. Left hand. E raka te maui, e raka te katau (P.).3.Cat''s-cradle; a string game. = whai4.Witchcraft. Ki etehi iwi he maui, ki etehi iwi he whakai, ki etehi he whaiwhaia, ki Taranaki he makutu.5.A convolute scroll pattern used in painting rafters, etc.6.l.n. The left hand. Kihai i peka ke atu ki matau, ki maui. whakamāuiv.i. Recover from severe ill-ness. (According to one legend, Hine-nui-te-po waylaid and almost killed Maui, but he restored himself to health by incantations.) Tena ra koe, e whakamaui ake nei.—Ka oke te tupapaku, kua mohiotia ka mate, ka karanga mai tetahi tangata, “Māna ano e whakamaui ake.” māuiui1.a. Wearied with labour. Ka mahi nga tangata, ka mauiui, ka noho (Tr. vii, 32). Ka mauiui oku pokohiwi i te amo-hanga i te wahie.2.n. That on which one has laboured.'"
Māui-potiki,"n. Petroica toitoi, white-breasted North Island tit. = miromiro'"
Mauka,a. Dry. (R.)'
Mauki,"a. Of long standing. Kaore te roimata hua noa i aku kamo, he aroha i mauki ki a Tumuhuia (S. 52) see uki'"
Maukoro,"n. Carmichaelia australis, a shrub.'"
Maukoroa,n. Red paint.'
Mauku,"n. 1. Asplenium bulbiferumand Hymenophyllum spp.; ferns. I tupu ai nga mauku o te paripari, ko nga makawe o Utamate (M. 48).2. Cordyline pumilio, a plant. māukuukun. Gastrodia cunninghamii, a leafless terrestrial orchid. = maikaika'"
Maukura,n. A variety of kumara. = toro-whenua'
Maumau, see mau (iv)'
Mauminamina,"a. Accepting eagerly, with alacrity. Te ki a nga whakaminenga pakeha, maori, “Mauminamina ana te taringa.”'"
Maunawenawe,"a. Hesitating, uncertain.'"
Maunene,n. Some part of the pudenda muliebria.'
Maunu,n. and v.t. Bait.Homai hoki tetehi maunu ki a au (T. 21).'
Māunu,"n. 1.Anas superciliosa, grey duck. karakahia, parera1. Parera maunu, person unable to swim.2.Unfledged young of birds. whakamāunuv.i. Moult, shed the skin. Kei te whakamaunu, kei te turuki (M. 183). E kuru nei aku iwi, e whakangehe, e whaka-maunu korora nei, e i (S.).'"
Maunu,"v.i. 1.Be drawn from belt, sheath, etc. Maunu te paraoa, kua motu te upoko (T. 102). Ka maunu i a ia te kauae o tana tupuna e huna ana i roto i tana uma (W. ii, 109).2.Come out, be loosened. Ka maunu te kakau o te toki.3.Be taken off, as clothes, etc. Ka maunu nga kakahu ka rere ki te wai.4.Go forth, emigrate. Ka maunu taua hunga, ka whai haere ano i a raua (T. 68).5.Begin to ebb (of the tide). see unu'"
Maunu,"n. Mo te maunu ra e kai nei i ahau (S. ii, 75). see taunu'"
Maunga,n. Mountain. He maunga huahua tera maunga (T. 145).'
Maunga, see mau (ii+iii)'
Maungarua,n. Rat.'
Māungaunga,"n. Scurf, dandruff.'"
Maupu,n. Fruit of hue gourd growing near the root of the plant.'
Mauranga,n. from see mau (ii).'
Maure,n. The moon on the twelfth day. Me te Maure ka puta ake i te pae (T. 167).'
Maurea,"n. 1.Maurea tigris, a univalve mollusc, the tiger shell.2.Carex lucida and C. comans; species of sedge used in making ornamental belts. He maurea kia whiria (P.) (Jx. i, 128).'"
Mauri,"mourin. 1.Life principle, thymos of man. Called sometimes mauri ora. Apparently at times used for person. To maunga tiketike, huinga mauri ora (M. 247).   Used in the exclamation to avert evil after a sneeze. “Tihe mauri ora” (M. 356).2.Source of the emotions; not to be confused with the material seat of the same in manawa or ngakau. From this comes  oho mauri, start suddenly. Ka oho mauri ahau; or, Ka oho taku mauri. Oho rere te mauri, te hinganga o te hoa (M. 109).   Also  mauri rere, panic-stricken;  mauri tau, absence of panic (J. vii, 121).3.Talisman, a material symbol of the hidden principle protecting vitality, mana, fruitfulness, etc., of people, lands, forests, etc. Koi to mauri ka tupu, tupu koe i to mauri, ka rau huihui koe i to mauri, ka rau matomato koe i to mauri (M. 379). Ko tenei mea ko te mauri, hai pupuri i te hau o te kainga. Ko te mauri he mea huna ki te ngaherehere. Ka ora katoa nga kai o te kainga i tenei mauri. In some instances mauri apparently indicated the principle itself, while the symbol was spoken of as aria. Kia tau te mauri o te kai ki raro (P.). [On the above senses of mauri, Best in (J. x, 2–7), and elsewhere.]4.A young plant of mapou, or of some other shrub, pulled up by the roots and used in connection with certain karakia. Ka hopu tona ringa ki te mauri … ka haua haeretia e ia te mauri i tona ringa, me te karakia haere atu.5.Poles of mapou, erected for the pure ceremony in connection with the kumara crop; called also toko, or toko-mauri, q.v.6.The name of a class of karakia. He mauri no muri o te purenga (M. 420). Ka whakahua te tohunga i taua mauri (M. 420). Tohinga mauritanga o papa ma ki mua ki te ahu (M. 248).'"
Mauri,"n. 1.A variety of totara timber, dark in colour, and light in weight, valued for making canoes. Kia tangi atu au he mauri ka taka i runga o nga puke ra (S. ii, 77).2.Astelia sp., a plant; called also mauri-kura. Ka patua te teka a Maui, titi tonu atu ki te pu mauri i haere ai tana kuia. I te taha o te whare e tu ana ko te pu mauri-kura; ko te huarahi tera ki raro.'"
Mauri,n. The moon on the twenty-ninth day.'
Māuru,"1.n. North-west, north-west wind. No whea korua ? No te muri ? No te mauru ? (Pi. 135, 4).2.West, west wind. Pera nga hau katoa, rawhiti, tonga, mauru, marangai (W.W. 17). He mauru ra ko te hau (M. 382).3.a. Western. Ao mauru e tauhere mai ra (M. 147).'"
Mauru,"1.a. Quieted, eased.2.Allayed. Ka mauru te aroha ki taku hoa moenga (M. 68). Mauru te manako (M. 15).3.Propitiated. Ehara, te tae ki te atua, kia mauru tona ngakau i te ika a tona tauira (T. 22).4.v.i. Abate, subside, as the sea. whakamauru1.v.t. Quiet, appease, soothe.2.Keep steady. Puritia te taura hei whakamauru.3.Lean upon. Kati te whakamauru ki a au.4.v.i. Subside. E whakamauru ana mai te tangi o te pu. māuruurua. Somewhat eased. Ka mauruuru te mamae.'"
Maurua,"moruan. Seam between two widths of a takapau (floor mat). I te maurua kotahi e rua papa, i te rua maurua e toru papa.'"
Mautaka,"v.t. Mautakatia te uho, e, o te whenua, te mana, e, o te whenua (M. 373). '"
Mautarakini,a. Held by the point or by the end.'
Maute,n. Fire. (R.).'
Mautere,mouteren. Island.'
Mauti,"n. Grass, weeds, vegetation. Kia pena to kainga tupuria ana e te mauti (P. 50).'"
Mautohe,v.i. Oppose persistently. I waiho ai au hei marau ma te ngutu i taku mautohetanga ki Ngati Ngarengare (M. cviii) see tohe'
Mauwha,"n. Small bushes, brushwood. Ka ngaro ki ro mauwha.'"
Mauwhane,"1.n. A figure of whai, cat''s-cradle.2.Of uncertain sense in karakia. Haere atu ki waenga te tahora, aha, mouti, mouti, aha, mauwhane, mauwhane ki Rotorua (M. 175).'"
Mawā,"māwāwāa. 1.Cracked, split.2.Slack.'"
Māwake,"n. South-east sea breeze. Mawake rangitahi, a sudden short squall.    Mawake pa roa, continued rainstorm.  '"
Māwe,"maawen. 1.A lock of hair used in certain ceremonies at the tuaahu and elsewhere. see makawe2.Some articles connected with a defeated foe, used in incantations to nullify reprisals. Ka hoatu te maawe o taua pa ki ta ratou kuri, ki a Moekahu, hai heri ki te kainga.3.An object used by the seer to represent an article which has been stolen, and which he is endeavouring to recover by magic rites. Ma te matatuhi e kite i te tangata whanako e haere atu ana i mua o te hunga hari atu i te maawe o taua mea i whanakotia. [See, at length, Best, J. x, 15; xii, 147.]4.Talisman or charm carried on a canoe while at sea. Ka haere a Muriwai ki te kawe i te maawe o to ratou waka (J. iii, 61).'"
Māwe,"n. Galium umbrosum, a plant.'"
Māwe,"māuev.i. Wave, swirl. Rukuhia, e tama, nga rimu e mawe i raro o Haumu (S. ii, 37).'"
Mawehe,v.i. Be separated. Katahi ka mawehe a Rangi raua ko Papa (T. 4).'
Mawera,"a. 1.Broken into separate masses, as clouds. He mawera te rangi; he uāpo.'"
Mawera,"a.  2 . Reddish. Mehemea ka tahuna i te rata, i te korukoru, ka mawera te aruhe, ara ka puwhero.3.Uneasy in mind. Ka nui toku mawera. see pawera'"
Mawete,"a. Untied, loosened. Kua mawete te kawe see wete'"
Māweu,n. Long fibrous roots of trees or plants see weu'
Māwewe,"maueuev.i. Flutter, quiver, shake, tremble. Me he rau kahakaha e mawewe ana (M.M. 52) see mawe (iii).'"
Māwhai,"n. 1.Sicyos angulata, a plant.2.Cassytha paniculata, a parasitic plant. (Ngi.) māwhaiwhain. Weeds, vegetation. Kua tutaki hoki te whare i te mawhaiwhai, i te pungawerewere (M. 394).'"
Māwhai,"1.a. Wavy, curly. To uru mawhai ka piua e te tai (M. 179).2.Ko te mawhai o Hape te ingoa o taua wahi, tona mawhai ki te haere. see whai (iii-4)'"
Māwhane,a. Stunted.'
Mawhaki,"a. Broken, torn off. Kua mawhaki taku toko. He pakihiwi tangata, e kore e mawhaki; tena he pakihiwi kai, ko te mea tena e mawhaki (P.) see whaki'"
Māwhara,a. Wide apart. = tawhara'
Māwharu,n. The moon on the twelfth or thirteenth day.'
Mawharu,"a. Muddy, boggy. Koi mawharu te ara ki Haumapu (M. 327) see powharu'"
Māwhatu,"1.a. Hanging in curls, covered with curly hair. He upoko mawhatu. Kia kumea atu to uru mawhatu, kia oria e te hau (M. 50).2.n. Curly locks. Kia wetekina mai nga mawhatu (M. 319).'"
Māwhe,"a. 1.Faded in colour.2.Subsided, abated. Kua mawhe te riri.'"
Mawhera,"1.a. Open.2.Widespread. I pai aku rongo, rongo mawhera noa (M. 234).3.n. Mouth. (R.)'"
Mawherangi,"a. 1.Wandering.2.Troubled in mind. Na taka ko roto nei, ka mawherangi noa (S. 49) see awherangi'"
Mawheto,"a. 1.Untied, loosened.2.Separated.'"
Māwhiti,"mahitin. White dogskin mat. Te mahi a te kahu-waero, a te topuni, a te mawhiti, a te puahi, a te kahu-taniko, me te tini o te kakahu (T. 155).'"
Mawhiti,"1.v.i. Leap, skip.2.Glance quickly. Ka kite i a Tama-te-hura e mawhiti ana nga karu i runga, i raro (J. xix, 200).3.Escape.4.n. A marine crustacean.He mawhiti moe paru (S. 111). māwhitiwhitin. 1.Grasshopper.2.A marine crustacean. = mawhiti 4'"
Me,"1.conj, If; generally implying the reverse of the condition stated. Me he manu, kua rere noa atu (T. 16).   Often in the form mehemea, if the case were that, etc., implying that it is not so. Mehemea na te tangata tenei mahinga, e kitea te whariki o te waka (T. 178) see ki te mea, mea (i)2.As if, like, as it were. Me he kawau pu te ahua (T. 138). Me te manu i motu i te ma-hanga (T. 64).   The phrase me te mea is sometimes used in this sense. Heoti ano me te mea e hoe ana i te moana marino (T. 117). Ko nga ringaringa me te mea ka marere (T. 145).   Less frequently mehemea, in same sense. Mehemea ko Kopu ka rere i te pae (T. 65). Mehemea ko te whare huata a Maui (T. 153).3.After pena, penei, and pera, not to be translated. He ahua tangata, penei me te ahua pakeha (T. 181). Kaore e peneitia tana ika me ta te tangata maori nei e tuhaina (T. 179).'"
Me,"particle Used- 1.With active verbs to form an optative. Ahakoa nui te moana, me aha? Engari me whakamatau (T. 164). Ae, me haere atu au (Yes, I had better depart) (T. 10)  , “Me pehea ra te kumenga?”… Ka mea etahi, “Me whakawhirinaki ki etahi rakau (T. 159).   2.Similarly to form a mild imperative. Me noho ano koutou, kaua e haere (T. 195).   With a transitive verb, the form is generally active, but the signification may be passive. Ko nga waka katoa me tapatapahi nga kaha, me unuunu hoki nga puru (T. 169).   Note: The usages 1 and 2 are not found in negative clauses.3.In poetry, apparently redundantly, with the interrogatives wai, hea, etc. Me ko wai te tangata i ngaro atu ki a koe? (M. 244). Me ko hea te whare? (M. 161).   4.As in the following case: Kati me he purupuru i nga korero (Leave off attempting to stifle the discussion).'"
Me,"prep. With. Denoting concomitance, or concurrence in time; often to be rendered by and. Kei te tu te iwi me nga tamahine (J. xx, 20). Kei te kai ano ratou, me tana tikanga ano o aua rangi o mua ra; me te kai, me te tangi (Again they were eating, with him behaving as on previous days, weeping as he ate )(T. 94).   When used with verbs, me is repeated, as in the last example.'"
Meā,me aha What does it signify? A colloquial use.'
Mea,"1.n. Thing. I mohio ia ki nga mea katoa (T. 57). Koia tenei pepeha mo te mea kite (Hence this saying for anything found) (T. 74).   Often not requiring to be translated. Te rongonga atu o Rongorongo ki te mea ra ka hoki ia (When Rongorongo heard that, she returned) (T. 108).   He mea is often used, followed by a verb active in form but passive in meaning, to supply descriptive details. Ko te matamata he mea tahu ki te ahi (The point having been set on fire) (T. 81). He mea heru te mahunga (The head having been dressed with a comb) (M. Ixxxiii).2.Reason, cause. He wahine te mea i pura ai te kanohi o Tahuaroa (P. 29). He wahine ahua pai tona kanohi, ko te mea tera i moe ai a Paoa i a ia (T. 185).   Mo te mea, no te mea, or ta te mea, because. Tenei kupu, mo te mea ka tahia atu nga otaota ki te taha o te marae (P. 108). Ka riri a Huakatoa no te mea i rukea e tatou nga kai (P. 99). E kore au e riri ki a koe, ta te mea e aroha ana ahau ki tou tinana kei mate (T. 129).   He mea, to the intent. He kai makutu ana kai, koia i karanga mai ai i a Tamure ki te kai, he mea kia mate (T. 173).3.Fact, event, case. Ehara i te mea i whanau tangata mai (T. 56). So in the expressions : i te mea, na te mea, when. Na te mea ano ka kitea nuitia, ka mea, “No whea mai ra te are?” (Pi. 135, 3). Ka paoa e Matuku-whakapu a Para ratou ko nga taina, i te mea kua papaku nga wai (W.W. 58).      Also, ki te mea, in the case that, if. Ki te mea ka tae mai ia ki konei, ka patua ia e matou (T. 200).      Me he mea, or mehemea, if the case were that (implying that it is not so).    Me te mea, as if, as it were  see me (i)4.indef. pron. One. Katahi ka tahuna e Mahuika ki te mea i toe o nga maikuku (T. 24). Kaore i homai nga mea momona kia kai tahi ratou, ko nga mea tokoroa anake mana (T. 94).   Not infrequently it takes the place of a relative pronoun, and may be translated who, which. Ko tatou, ko te mea i ata tirohia iho e ia te ata whanautanga (We who were seen by her to have been born in a regular manner) (T. 11). Kotahi te mea i whakaorangia (T. 60). He kai ko te mea e mate i a koe (It is food which will suffer at your hands) (T. 100).   In some cases it is used for a noun to avoid repetition, and is not translated. Kihai i tika tona whiwhinga ki te taonga ehara i te mea utu (P. 105). Ka nanao te ringa o te tohunga tuatoru ki te karearea; ma te mea tuatahi e whakatakoto aua whatu e toru (W.W. 3).   Tirohia mai etahi kowhatu, hei te mea nui.5.Used of persons whom it is unnecessary or impossible to name. So-and-so; pl. mea ma, such-and-such persons. “Mo wai te wai, i haere iho ai koe i te po?” Ka mea atu, “Mo mea ma” (T. 96).   It is also so used in address. E mea ma, haere mai ki te mata-kitaki (T. 52).6.v.t. Do, deal with. Often as a substitute for a more definite word. Meatia te mea nei.7.Cause, make. Nana ano i mea kia pa ia (T. 16).8.Say. Ka mea atu a Manaia, “Kau mai; kahore he wai” (T. 120).9.Intend, wish. I mea hoki ratou kia tirohia paitia ia (T. 193).10.Think. Ka mea a Ha, ka mate ia (T. 96). 11.To denote lapse of time, when it may sometimes be rendered, go on. Me te rere haere te waka ra, a Te Arawa; mea, mea, a, ka taka kei waho o Maketu (T. 74).   So mea ake (often written meāke). soon; mea kau ake, very soon, immediately. No reira tana mohiotanga mea ake ia whakamatea ai hei utu mo taua tamaiti (T. 108). meamea1.v.t. Say, give orders. Ka mea-mea a Tukutuku kia moata ki te whariki mo te kainga (T. 192).2.a. Bastard. Tama meamea, son by a slave wife. Ha tama meamea noa ra koe naku (W. iii, 53).  '"
Mea,"a. Red, reddish. Ka huki kei waho te ata ura, te ata mea (S.) see karamea'"
Meāke, see mea (i-11)'
Meatia,meatingiapass. forms of see mea (i) '
Meha,"a. Apart, separate. Ka motu koe, ka meha (M. ci). memeha1.a. Decaying, evanescent, weak.2.v.i. Be dissolved, pass away. Kua memeha ke te haupapa i te whitinga o te ra. mehamehaa. 1.Lonely, solitary. Meha-meha kau ana tenei whenua.2.Set apart, dedicated. Te huakina i te whare mehameha i a Miru (M. 370).3.Ashamed, abashed. Kaore e mehameha te tangata ki tana korero.'"
Mehemea,"conj. If see me (i), mea (i)'"
Meho,a. False. He meho ! Fudge ! A contemptuous contradiction.'
Mei,"prep. According to, judging by. He tika, mei te tohe tonu ki te karanga (T. 148). Kua mohiotia mai ko Paoa tera, mei te ahua e rere ke ana (T. 193).'"
Meinga,meingatiapass. Passives of mea (i). '
Meka,"a. True. Only in the expression, He meka, he meka ! (True, true !)'"
Mekameka,"n. 1.Chain. Note: This word is obviously of recent origin, but no clue has been found as to its derivation.2.A form of ladder.'"
Mekari,"ad. Within a little. Mekari tatou mate. see karia, mekore'"
Meke,"1.v.t. Strike with the fist.2.n. Blow with the fist. Ka tata tonu, katahi ka whiua te meke, tahi tonu atu ki te ihu (J. iii, 17). mekemekev.i. Close the hand, double the fist.'"
Meke,"n. A cake of pounded fern root. memekev.i. Crowd together. Ka memeke nga tangata ki tahaki (Tr. vii, 47). mekemeke1.v.i. Assemble. Ka mekemeke te rau o te tangata (M. 367).2.v.t. Patch, renovate. (Tahu.) whakamekemekev.t. Bind together in a bundle.'"
Meke,"memekev.i. Be shy, draw back, hang back.  Oroia atu te whiu i runga o te tokotoko, tahi tonu ki te upoko, rere ana tetahi taha, memeke katoa Te Arawa. E kore e pai atu, ka takoto te whakaaro a tetahi iwi, ko matou ka memeke katoa, kaore e whakau.'"
Meke,"memekea. Blistered. whakamemeken. Wasting, shrivelling of the limbs. mekemeken. A species of toadstool.He mekemeke tetahi o ona ingoa, mo te hume-kemeke o nga rau. see menge, humekemeke'"
Meko,"v.t. Withhold, refuse to give. Ka meko te tangata nei i tana waka.'"
Mekore,ad. Within a little. Mekore te waka nei te pakaru (M. 133).   Mekore tahuri te poti.'
Meme,"n. Muttering, murmuring. whakamemev.i. Mutter unintelligibly.'"
Mēmea,mehemea'
Memeha, see meha'
Memeke, see meke'
Memene, see mene (ii)'
Memenge, see menge'
Mene,"v.i. 1.Be assembled. Kua mene mai nga tangata o te kainga. Te menenga o te kai (S. 53). Te menenga ope ki Puketutu (M. 299).2.Be completely recited (of karakia). Katahi ka whakahua i a ratou nei karakia, i mene te tumangai, i mene te rotu, i mene te wero taniwha, i mene te whakapuru (T. 159). whakamenev.t. Assemble, call together. see mine'"
